linecode,order,source,target
1,1,43,28
1,2,28,44
1,3,44,45
1,4,45,46
1,5,46,47
1,6,47,48
1,7,48,49
1,8,49,50
1,9,50,51
1,10,51,52
1,11,52,53
1,12,53,54
1,13,54,55
1,14,55,15
15,1,33,20
15,2,20,34
15,3,34,35
15,4,35,36
15,5,36,37
15,6,37,38
15,7,38,39
15,8,39,40
15,9,40,41
15,10,41,42
25,1,53,60
25,2,60,61
25,3,61,62
25,4,62,63
30,1,42,64
30,2,64,65
30,3,65,66
30,4,66,67
30,5,67,68
30,6,68,69
30,7,69,70
30,8,70,63
30,9,63,71
30,10,71,72
30,11,72,73
30,12,73,74
35,1,1,2
35,2,2,3
35,3,3,4
35,4,4,5
35,5,5,6
35,6,6,7
35,7,7,8
35,8,8,9
35,9,9,10
35,10,10,11
35,11,11,12
35,12,12,13
35,13,13,14
35,14,14,15
35,15,15,16
35,16,16,17
35,17,17,18
35,18,18,19
40,1,38,56
40,2,56,57
40,3,57,49
40,4,49,58
40,5,58,59
40,6,59,10
50,1,20,21
50,2,21,22
50,3,22,23
50,4,23,24
50,5,24,25
50,6,25,26
50,7,26,27
50,8,27,28
50,9,28,29
50,10,29,30
50,11,30,31
50,12,31,32
50,13,32,7
